Evaluation
Total Distance	1791.1213371028468
Used Vehicle Number	13

VehicleID	CustomerID
0	o-32-31-37-35-34-38-39-36-51-29-24-20-d
1	o-83-96-94-97-12-14-16-19-18-28-21-d
2	o-57-59-60-53-54-61-72-63-d
3	o-73-71-76-82-85-98-95-99-2-3-5-d
4	o-81-78-90-86-89-91-88-4-75-1-7-d
5	o-52-33-50-48-46-45-47-43-22-69-26-d
6	o-55-41-40-44-58-64-68-66-49-d
7	o-67-87-62-70-77-79-80-d
8	o-13-17-8-15-30-6-23-d
9	o-65-27-92-93-100-d
10	o-42-25-10-11-9-d
11	o-74-84-d
12	o-56-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
