Evaluation
Total Distance	1840.9782962547247
Used Vehicle Number	9

VehicleID	CustomerID
0	o-2-5-45-8-73-53-7-6-4-46-3-100-55-d
1	o-11-15-16-17-47-14-12-13-9-10-d
2	o-69-98-52-59-77-58-75-74-87-78-79-88-d
3	o-72-42-44-39-38-36-40-35-71-27-85-62-93-d
4	o-67-63-31-30-33-28-29-26-32-34-37-41-70-d
5	o-95-76-21-23-25-49-19-90-89-18-d
6	o-82-64-22-51-84-86-97-48-57-d
7	o-61-81-94-92-56-50-54-43-1-60-68-d
8	o-65-83-66-80-20-96-24-99-91-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
